Item,,Code,Description,หน่วย,QTY,ม้วนเต็ม,เศษ,QTY,ม้วน,เศษ,QTY,ม้วน,เศษ,Location,หมายเหตุ
,Suppliers,,,,,,,,,,,,,,
1,เชน่า อินเตอร์,RM2062205001,ผ้า SUNSCREEN 5% สี Grey/Black (SC-A1-510) หน้ากว้าง 2.50 เมตร ยาว 30 เมตร/ม้วน,เมตร,150,5,0,150,5,0,0,0,0,"WH2-C201,C105",(30x5)
2,เชน่า อินเตอร์,RM2062212002,ผ้า SUNSCREEN 3% RR-82 สีน้ำตาล หน้ากว้าง 3.00 ม. ยาว 30 ม.,เมตร,9.19,0,9.19,9.6,0,9.56,-0.41,0,-0.37,WH2-C105,เศษ9.19
3,เชน่า อินเตอร์,RM2062302006,ผ้า SUNSCREEN 5% สี Grey/Grey (SC-A1-506) หน้ากว้าง 3.00 เมตร ยาว 30 เมตร/ม้วน (หมดแล้วหมดเลย),เมตร,21.7,0,21.7,24.45,0,24.45,-2.75,0,-2.75,WH2-C105,เศษ5.7+16
4,เชน่า อินเตอร์,RM2062306002,ผ้า SUNSCREEN 5% สี Brown/Black (SC-A1-508) หน้ากว้าง 2.50 เมตร ยาว 30 เมตร/ม้วน,เมตร,270.85,8,30.85,277.35,8,41.89,-6.5,0,-11.04,WH2-C105;C201,(30x8)+4.15+2.5+13.35+3.35+7.5
5,เชน่า อินเตอร์,RM2062406002,ผ้า SUNSCREEN 5% สี Grey/Black (SC-A1-510) หน้ากว้าง 3 เมตร ยาว 30 เมตร/ม้วน,เมตร,332.35,10,32.35,332.91,10,33.25,-0.56,0,-0.9,"WH2-C301,C105",(30x10)+3.8+8.8+4.5+3.1+8+4.15
6,เชน่า อินเตอร์,RM2062412002,ผ้า SUNSCREEN 5% สี Brown/Black (SC-A1-508) หน้ากว้าง 3.00 เมตร ยาว 30 เมตร/ม้วน,เมตร,150,5,0,150,5,0,0,0,0,"WH2-C305,C105",(30x5)
7,ซี อี เอส,RM2061910003,ผ้า Solar Sand สีเขียวแก่ Forest Green 6687/F-014 W 2.04 m.x 100 m./R.,เมตร,400,4,0,445.13,3,143.13,-45.13,1,-143.13,"WH4-A102,A202",ตำนิ100x4
8,ซี อี เอส,RM2061910004,ผ้า Solar Sand สีเทาอ่อน Earth Grey 6088/E-005 W 2.04 m.x 100 m./R.,เมตร,1450.3,13,150.31,1394.96,13,149.63,55.35,0,0.68,"WH4-A102 , WH2-C104",(100+8)40+4.18+2.34+4.31+3.97+5.12+4.00+1.63+1.42+3.37+2+1.71+3.8+4.6+1.5+2.88+2+3.60+2.30+3.06+2.72+53.80
9,ซี อี เอส,RM2061910005,ผ้า Solar Sand สีเทาเข้ม Deep Grey 8203/D-055 W 2.04 m.x 100 m./R.,เมตร,1019,11,149.07,1329.51,13,110.51,-310.51,-2,38.56,"WH2-C104 , WH4-A202",(100x9)75.9+26.35+30+6.8+3.4+3.39+1.23+2+92..ตำนิ(60x1)(59x1)
10,ซี อี เอส,RM2061910006,ผ้า Solar Sand สีน้ำตาล Olive Brown 4621/O-026 W 2.04 m.x 100 m./R.,เมตร,1455,15,4,1565.55,16,18.55,-104.55,-1,-14.55,"WH2-C203 , A101",(100x13)(68x1)(92x1)+4
11,ซี อี เอส,RM2061910007,ผ้า Solar Sand สีน้ำเงิน Navy Blue 6022/N-041 W 2.04 m.x 100 m./R.,เมตร,1600,19,64.05,1752.25,20,35.25,-152.3,-1,28.8,"WH2-A101,C204",(100x15)(37x1)(50x1)(36x1)(41x1)+29.05+5+30
12,ซี อี เอส,RM2061910008,ผ้า Solar Sand สีเลือดหมู Burgundy 8206/B-333 W 2.04 m.x 100 m./R.,เมตร,1617.9,17,66.9,1611.35,17,67.35,6.55,0,-0.45,"WH2-A101,C203",(100x14)(79x1)(17x1)(45x1)+10.1+56.8
13,ซี อี เอส,RM2062311001,ผ้า Solar Sand สีกากี Khaki K068 W 2.04 m.x 100 m./R.,เมตร,1245.6,12,45.56,1291.64,12,92.44,-46.08,0,-46.88,WH2-C204,(100x12)+21.07+3+2.3+1.68+2+2+3.3+1+0.9+2.33+1.93+4.05 ตำนิ3.1+3.1+5.6+.3+3
14,ซี อี เอส,RM2062403013,ผ้าDUO สีเขียวตอง#65 รุ่นสองหน้า Green/Grey หนา 30 มิล กว้าง 2.05 เมตร.ยาว 45 ม./ม้วน,เมตร,45,1,0,45,1,0,0,0,0,WH2-C203,45x1
15,ซี อี เอส,RM2062403014,ผ้าDUO สีเขียว#674 หนา 30 มิล กว้าง 2.05 เมตร ยาว 45 เมตร/ม้วน,เมตร,45,1,0,45,1,0,0,0,0,WH2-C203,45x1
