sku,description,default_length,default_grade
RM2061406001,Sunbrella USA # 4644 Charcoal Grey หน้ากว้าง 1.18 ม.,-1.0,-
RM2061406002,ผ้า Extra Block True Blue 311079 หน้ากว้าง 3.00 ม.,0.0,-
RM2061406003,ผ้า Solar max สีเทาอ่อน 7001 (Sioen B8000) (630g) หน้ากว้าง 2.50 ม,-1.0,-
RM2061406004,ผ้า Sioen B-6000 (900g) สีเทาอ่อน 7001 หน้ากว้าง 3.00 ม,-1.0,-
RM2061408001,ผ้า Solar Screen สี White - Caramal N-005 หน้ากว้าง 2.50 ม 5%,-1.0,-
RM2061408002,ผ้า Solar Screen สี White/ Dark Ivory N-017 หน้ากว้าง 2.50 ม 5%(หมดแล้วหมดเลย),-1.0,-
RM2061408003,ผ้า Solar Screen สี Brown/Brown N-4545 หน้ากว้าง 2.50 ม 5%,465.7,-
RM2061408004,"ผ้าตาข่ายหมวกเล็ก 56"" สีเทาอ่อน",-1.0,-
RM2061409001,Sunbrella USA # 4648 สีน้ำตาลอ่อน หน้ากว้าง 1.18 ม.,-1.0,-
RM2061409002,Commercial 95 DESSERT SAND # 444983 หน้ากว้าง 3.00 ม. (40 ม./ม้วน),257.06,-
RM2061409003,Commercial 95 NATURAL# 445003 หน้ากว้าง 3.00 ม. (40 ม./ม้วน),473.74,-
RM2061409004,Sunbrella USA # 4608 Black หน้ากว้าง 1.18 ม.,-1.0,-
RM2061409005,KADOR,-1.0,-
RM2061411001,Multitex Granate Ral 3005 Wine Red Colour ( หมดแล้วหมดเลย),47.0,-
RM2061411002,Multitex Gris Oscuro Ral 7037 Dusty Grey Color,0.0,-
RM2061411003,ผ้า Solar max สีเขียว 6001 (Sioen B-8000) (630g) หน้ากว้าง 2.50 ม,-1.0,-
RM2061412001,ผ้า Vinistar Soft UV (PVC) สีส้ม 0.50 mm. หน้ากว้าง 1.37 ม. ยาว 20 เมตร(หมดแล้วหมดเลย),9.0,-
RM2061501001,พลาสติกใส ใน หนา 0.40 มม. หน้ากว้าง 1.37 ม. (45 เมตร/ม้วน),-1.0,-
RM2061501002,ผ้า ORCHESTRA CARBONE U171 หน้ากว้าง 1.20 ม.,-1.0,-
RM2061501003,ผ้า OPERA PAVOTS J066 หน้ากว้าง 1.20 ม.,-1.0,-
RM2061501004,ผ้า OPERA SOHO 8267 หน้ากว้าง 1.20 ม.,-1.0,-
RM2061501005,ผ้า OPERA SOHO 8264 หน้ากว้าง 1.20 ม.,-1.0,-
RM2061501006,ผ้า OPERA PAVOTS J068 หน้ากว้าง 1.20 ม.,-1.0,-
RM2061501007,ผ้า OPERA PAVOTS J069 หน้ากว้าง 1.20 ม.,-1.0,-
RM2061501008,ผ้า OPERA PAVOTS 8813 หน้ากว้าง 1.20 ม.,-1.0,-
RM2061501009,ผ้า OPERA PAVOTS 8814 หน้ากว้าง 1.20 ม.,-1.0,-
RM2061501010,ผ้า OPERA GALET J062 หน้ากว้าง 1.20 ม.,-1.0,-
RM2061501011,ผ้า OPERA GALETS 8818 หน้ากว้าง 1.20 ม.,-1.0,-
RM2061501012,ผ้า OPERA TWILL JEAN J061 หน้ากว้าง 1.20 ม.,-1.0,-
RM2061501013,ผ้า OPERA CUBE J063 หน้ากว้าง 1.20 ม.,-1.0,-
RM2061501014,ผ้า OPERA CUBE J064 หน้ากว้าง 1.20 ม.,-1.0,-
RM2061501015,ผ้า OPERA CUBE J065 หน้ากว้าง 1.20 ม.,-1.0,-
RM2061501016,ผ้า Sioen B-6000 (900g) สีเทาแก่ 7244 หน้ากว้าง 3.00 ม,60.0,-
RM2061501017,ผ้า Solar max สีเลือดหมู 3017 (Sioen B7119 ) (630 g/m2) หน้ากว้าง 2.50 ม,123.3,-
RM2061505001,ผ้าใบ PVC S5 WH2 สีขาว หน้ากว้าง 1.08 ม.,-1.0,-
RM2061505002,SIOEN M5550/250gram,-1.0,-
RM2061505003,ผ้า Sunbrella No. 5453 หน้ากว้าง 1.37 เมตร,-1.0,-
RM2061505004,RAINBLOCK Water Resistant Fabric SAVANNAH GOLD หน้ากว้าง 3.00 ม.,-1.0,-
RM2061506001,ผ้า Solar Max (HANA) Beige 65-027 (580g) หน้ากว้าง 1.55 ม.,-1.0,-
RM2061506002,ผ้าใบ PVC S5 CR1 สีครีม หน้ากว้าง 1.08 ม.,123.0,-
RM2061506003,ผ้าใบ PVC S5 OR1 สีส้ม หน้ากว้าง 1.08 ม.,55.75,-
RM2061506004,ผ้าใบ PVC S5 BL1 สีฟ้าอ่อน หน้ากว้าง 1.08 ม.,-1.0,-
RM2061506005,ผ้าใบ PVC S5 BL4 สีกรมท่า หน้ากว้าง 1.08 ม.,229.6,-
RM2061506006,ผ้าใบ PVC S5 GR3 สีเขียวเข้ม หน้ากว้าง 1.08 ม.,-1.0,-
RM2061506007,Commercial 95 RIVER GUM GREEN # 445027 หน้ากว้าง 3.00 ม. (40 ม./ม้วน),434.0,-
RM2061506008,Commercial 95 BRUNSWICK GREEN # 444952 หน้ากว้าง 3.00 ม. (40 ม./ม้วน),462.2,-
RM2061506009,Commercial 95 STEEL GREY # 445041 หน้ากว้าง 3.00 ม. (40 ม./ม้วน)/,501.6,-
RM2061506010,Commercial 95 AQUATIC BLUE # 444938 หน้ากว้าง 3.00 ม. (40 ม./ม้วน) /,319.4,-
RM2061507001,"ผ้าตาข่ายหมวกเล็ก 56"" สีดำ",-1.0,-
RM2061507002,Sunbrella # 4642-0000 Oyster,0.0,-
RM2061507003,ผ้า Acrylic สีน้ำตาลเข้มสลับสีกากี 016 หน้ากว้าง 1.20 ม(หมดแล้วหมดเลย),6.89,-
RM2061507004,ผ้า Acrylic สีเทาเข้มคาดดำสลับเทาอ่อน 645 หน้ากว้าง 1.20 ม.(หมดแล้วหมดเลย),17.2,-
RM2061507005,ผ้า Acrylic # 016 หน้ากว้าง 1.20 ม.,-1.0,-
RM2061507006,ผ้า Solar max สีครีม 1623 (Sioen B8000)(630g) หน้ากว้าง 2.50 ม. ยาว 65 ม.,465.15,-
RM2061507007,ผ้า Solar max สีหลือง 1025 (Sioen B8000)(630g) หน้ากว้าง 3.20 ม.(หมดแล้วหมดเลย),6.9,-
RM2061507008,ผ้า Solar max สีส้ม 3018 (Sioen B8000)(630g) หน้ากว้าง 2.50 ม. ยาว 65 ม.,-1.0,-
RM2061507009,ผ้า Solar max สีน้ำเงิน 5001 (Sioen B8000)(630g) หน้ากว้าง 3.20 ม. ยาว 65 ม.,48.33,-
RM2061507010,ผ้า Solar max สีแดง 3001 (Sioen B8000)(630g) หน้ากว้าง 3.00 ม. ยาว 65 ม.(หมดแล้วหมดเลย),-1.0,-
RM2061507011,ผ้า Solar max สีเทาเข้ม 7024 (Sioen B8000) (630g) หน้ากว้าง 2.50 ม. ย.65 ม.,487.85,-
RM2061507012,ผ้า Solar max สีบรอนซ์เงิน 7500 (Sioen B8000) (630g) หน้ากว้าง 2.50 ม. ยาว 65 ม.,196.93,-
RM2061507013,ผ้า Solar max สีน้ำตาล 8020 (Sioen B8000) (630g) หน้ากว้าง 2.50 ม. ย.65 ม.,15.68,-
RM2061507014,ผ้า Solar max สีดำ 7999 (Sioen B8000)(630g) หน้ากว้าง 2.50 ม. ยาว 65 ม.,195.0,-
RM2061507015,ผ้า Solar max สีขาว 9002 (Sioen B8000) (630g) หน้ากว้าง 2.50 ม. ยาว 65 ม.,1830.6,-
RM2061508001,ผ้า Ferrari 502-2168 สีอลูมิเนียม หน้ากว้าง 1.80 ม. (40 เมตร),44.3,-
RM2061508002,ผ้า Acrylic สีเขียวอ่อนสลับขาว 569 หน้ากว้าง 1.20 ม.(หมดแล้วหมดเลย),269.0,-
RM2061508003,ผ้า Acrylic สีเทาอ่อนสลับน้ำตาลลาย621 หน้ากว้าง 1.20 ม.(หมดแล้วหมดเลย),0.0,-
RM2061509001,ผ้า Extra Block -Plain Yellow 311098 หน้ากว้าง 3.00 ม.,-1.0,-
RM2061509002,ผ้า Extra Block -Dove Blue 311106 หน้ากว้าง 3.00 ม.,-1.0,-
RM2061509003,ผ้า Extra Block -Purple 311104 หน้ากว้าง 3.00 ม.,-1.0,-
RM2061509004,Style#311108 Peart Onyx Z-Net (Extrablock) Fabrics หน้ากว้าง 3.00 ม.,-1.0,-
RM2061510001,ผ้า Sunbrella fabric Orange # 4609 หน้ากว้าง 1.20 ม.,-1.0,-
RM2061510002,ผ้า Sioen B-6000 (900g) สีขาวมุก 9013 หน้ากว้าง 3.00 ม.,37.0,-
RM2061510003,Commercial 95 CAYENNE # 455255 หน้ากว้าง 3.00 ม. (40 ม./ม้วน),72.82,-
RM2061510004,Commercial 95 CEDAR # 465360 หน้ากว้าง 3.00 ม. (40 ม./ม้วน)หมดแล้วหมดเลย,61.3,-
RM2061510005,ผ้า Furniture Acrylic # R-7100 Beige หน้ากว้าง 1.50 ม.,-1.0,-
RM2061510006,ผ้า Acrylic สีขาว R-099 หน้ากว้าง 1.50 ม,-1.0,-
RM2061511001,Commercial 95 TURQUOISE # 445065 หน้ากว้าง 3.00 ม. (40 ม./ม้วน),596.0,-
RM2061511002,ผ้า Sioen B-6000/1622 หน้ากว้าง 3.00 ม.,53.2,-
RM2061512001,ผ้า ORCHESTRA CHARCOAL TWEED 7330 หน้ากว้าง 1.20 ม. (เทาลาย),-1.0,-
RM2061512004,ผ้า Acrylic เทาลาย R-770 หน้ากว้าง 1.50 ม,-1.0,-
RM2061512005,ผ้า Acrylic สีฟ้าเข้ม N682 หน้ากว้าง 1.53 ม.,-1.0,-
RM2061512006,ผ้า Super PVC T5 สีขาว WH1 หน้ากว้าง 1.07 ม.,-1.0,-
